year,state,state_po,state_fips,candidatevotes,democratic_pct,democratic_pct_ave_1976_2024
2000,SOUTH CAROLINA,SC,45,566037,41.8,44.2
2000,SOUTH DAKOTA,SD,46,118804,38.4,41.0
2000,TENNESSEE,TN,47,981720,48.0,44.3
2000,TEXAS,TX,48,2433746,39.0,43.7
2000,UTAH,UT,49,203053,28.3,32.3
2000,VERMONT,VT,50,149022,55.4,58.1
2000,VIRGINIA,VA,51,1217290,45.9,48.0
2000,WASHINGTON,WA,53,1247652,52.9,53.9
2000,WEST VIRGINIA,WV,54,295497,46.8,44.6
2000,WISCONSIN,WI,55,1242987,50.1,51.1
2000,WYOMING,WY,56,60481,29.0,32.8
1996,ALABAMA,AL,1,662165,46.3,41.7
1996,ALASKA,AK,2,80380,39.6,38.7
1996,ARIZONA,AZ,4,653288,51.2,44.1
1996,ARKANSAS,AR,5,475171,59.4,45.5
1996,CALIFORNIA,CA,6,5119835,57.2,55.5
1996,COLORADO,CO,8,671152,49.2,48.4
1996,CONNECTICUT,CT,9,735740,60.4,54.0
1996,DELAWARE,DE,10,140355,58.6,54.2
1996,DISTRICT OF COLUMBIA,DC,11,158220,90.1,90.0
1996,FLORIDA,FL,12,2546870,53.2,46.9
1996,GEORGIA,GA,13,1053849,49.4,48.4
1996,HAWAII,HI,15,205012,64.3,59.7
1996,IDAHO,ID,16,165443,39.2,33.6
1996,ILLINOIS,IL,17,2341744,59.6,54.7
1996,INDIANA,IN,18,887424,46.9,42.8
1996,IOWA,IA,19,620258,55.7,49.6
1996,KANSAS,KS,20,387659,39.9,40.5
1996,KENTUCKY,KY,21,636614,50.5,42.9
1996,LOUISIANA,LA,22,927837,56.6,44.8
1996,MAINE,ME,23,312788,62.7,52.6
1996,MARYLAND,MD,24,966207,58.6,58.0
1996,MASSACHUSETTS,MA,25,1571509,68.6,60.7
1996,MICHIGAN,MI,26,1989653,57.3,50.8
1996,MINNESOTA,MN,27,1120380,59.4,53.7
1996,MISSISSIPPI,MS,28,394022,47.3,43.1
1996,MISSOURI,MO,29,1025935,53.5,46.9
1996,MONTANA,MT,30,167922,48.3,42.8
1996,NEBRASKA,NE,31,236761,39.4,36.9
1996,NEVADA,NV,32,203974,50.6,46.9
1996,NEW HAMPSHIRE,NH,33,246166,55.6,47.3
1996,NEW JERSEY,NJ,34,1652361,60.0,52.5
1996,NEW MEXICO,NM,35,273495,54.0,50.8
1996,NEW YORK,NY,36,3756177,66.0,58.0
1996,NORTH CAROLINA,NC,37,1107849,47.5,47.2
1996,NORTH DAKOTA,ND,38,106905,46.1,37.9
1996,OHIO,OH,39,2148222,53.6,47.8
1996,OKLAHOMA,OK,40,488105,45.6,37.4
1996,OREGON,OR,41,649641,54.7,53.1
1996,PENNSYLVANIA,PA,42,2215819,55.2,51.1
1996,RHODE ISLAND,RI,44,233050,69.0,59.8
1996,SOUTH CAROLINA,SC,45,506152,46.9,44.2
1996,SOUTH DAKOTA,SD,46,139333,48.1,41.0
1996,TENNESSEE,TN,47,909146,51.3,44.3
1996,TEXAS,TX,48,2459683,47.3,43.7
1996,UTAH,UT,49,221633,38.0,32.3
1996,VERMONT,VT,50,137894,63.2,58.1
1996,VIRGINIA,VA,51,1091060,48.9,48.0
1996,WASHINGTON,WA,53,1123323,57.2,53.9
1996,WEST VIRGINIA,WV,54,327812,58.4,44.6
1996,WISCONSIN,WI,55,1071971,55.9,51.1
1996,WYOMING,WY,56,77934,42.5,32.8
1992,ALABAMA,AL,1,690080,46.2,41.7
1992,ALASKA,AK,2,78294,43.4,38.7
1992,ARIZONA,AZ,4,543050,48.7,44.1
1992,ARKANSAS,AR,5,505823,60.0,45.5
1992,CALIFORNIA,CA,6,5121325,58.5,55.5
1992,COLORADO,CO,8,629681,52.8,48.4
1992,CONNECTICUT,CT,9,682318,54.1,54.0
1992,DELAWARE,DE,10,126054,55.2,54.2
1992,DISTRICT OF COLUMBIA,DC,11,192619,90.3,90.0
1992,FLORIDA,FL,12,2071698,48.8,46.9
1992,GEORGIA,GA,13,1008966,50.3,48.4
1992,HAWAII,HI,15,179310,56.7,59.7
1992,IDAHO,ID,16,137013,40.3,33.6
1992,ILLINOIS,IL,17,2453350,58.6,54.7
1992,INDIANA,IN,18,848420,46.2,42.8
1992,IOWA,IA,19,586353,53.7,49.6
1992,KANSAS,KS,20,390434,46.5,40.5
1992,KENTUCKY,KY,21,665104,51.9,42.9
1992,LOUISIANA,LA,22,815971,52.7,44.8
1992,MAINE,ME,23,263420,56.1,52.6
1992,MARYLAND,MD,24,988571,58.3,58.0
1992,MASSACHUSETTS,MA,25,1318639,62.1,60.7
1992,MICHIGAN,MI,26,1871182,54.6,50.8
1992,MINNESOTA,MN,27,1020997,57.7,53.7
1992,MISSISSIPPI,MS,28,400258,45.1,43.1
1992,MISSOURI,MO,29,1053873,56.5,46.9
1992,MONTANA,MT,30,154507,51.7,42.8
1992,NEBRASKA,NE,31,216864,38.7,36.9
1992,NEVADA,NV,32,189148,51.8,46.9
1992,NEW HAMPSHIRE,NH,33,209040,50.8,47.3
1992,NEW JERSEY,NJ,34,1436206,51.4,52.5
1992,NEW MEXICO,NM,35,261617,55.1,50.8
1992,NEW YORK,NY,36,3444450,59.5,58.0
1992,NORTH CAROLINA,NC,37,1114042,49.5,47.2
1992,NORTH DAKOTA,ND,38,99168,42.1,37.9
1992,OHIO,OH,39,1984942,51.2,47.8
1992,OKLAHOMA,OK,40,473066,44.4,37.4
1992,OREGON,OR,41,621314,56.6,53.1
1992,PENNSYLVANIA,PA,42,2239164,55.5,51.1
1992,RHODE ISLAND,RI,44,213299,61.8,59.8
1992,SOUTH CAROLINA,SC,45,525514,47.6,44.2
1992,SOUTH DAKOTA,SD,46,124888,47.7,41.0
1992,TENNESSEE,TN,47,933521,52.6,44.3
1992,TEXAS,TX,48,2281815,47.8,43.7
1992,UTAH,UT,49,183429,36.2,32.3
1992,VERMONT,VT,50,133592,60.3,58.1
1992,VIRGINIA,VA,51,1038650,47.4,48.0
1992,WASHINGTON,WA,53,993037,57.6,53.9
1992,WEST VIRGINIA,WV,54,331001,57.8,44.6
1992,WISCONSIN,WI,55,1041066,52.8,51.1
1992,WYOMING,WY,56,68160,46.2,32.8
1988,ALABAMA,AL,1,549506,40.3,41.7
1988,ALASKA,AK,2,72584,37.8,38.7
1988,ARIZONA,AZ,4,454029,39.3,44.1
1988,ARKANSAS,AR,5,349237,42.8,45.5
1988,CALIFORNIA,CA,6,4702233,48.2,55.5
1988,COLORADO,CO,8,621453,46.0,48.4
1988,CONNECTICUT,CT,9,676584,47.4,54.0
1988,DELAWARE,DE,10,108647,43.8,54.2
1988,DISTRICT OF COLUMBIA,DC,11,159407,85.2,90.0
1988,FLORIDA,FL,12,1656701,38.7,46.9
1988,GEORGIA,GA,13,714792,39.8,48.4
1988,HAWAII,HI,15,192364,54.8,59.7
1988,IDAHO,ID,16,147272,36.7,33.6
1988,ILLINOIS,IL,17,2215940,49.0,54.7
1988,INDIANA,IN,18,860643,39.9,42.8
1988,IOWA,IA,19,670557,55.1,49.6
1988,KANSAS,KS,20,422636,43.3,40.5
1988,KENTUCKY,KY,21,580368,44.1,42.9
1988,LOUISIANA,LA,22,717460,44.8,44.8
1988,MAINE,ME,23,243569,44.2,52.6
1988,MARYLAND,MD,24,826304,48.5,58.0
1988,MASSACHUSETTS,MA,25,1401415,54.0,60.7
1988,MICHIGAN,MI,26,1675783,46.0,50.8
1988,MINNESOTA,MN,27,1109471,53.6,53.7
1988,MISSISSIPPI,MS,28,363921,39.5,43.1
1988,MISSOURI,MO,29,1001619,48.0,46.9
1988,MONTANA,MT,30,168936,47.0,42.8
1988,NEBRASKA,NE,31,259235,39.4,36.9
1988,NEVADA,NV,32,132738,39.2,46.9
1988,NEW HAMPSHIRE,NH,33,163696,36.8,47.3
1988,NEW JERSEY,NJ,34,1320352,43.1,52.5
1988,NEW MEXICO,NM,35,244497,47.5,50.8
1988,NEW YORK,NY,36,3347882,52.1,58.0
1988,NORTH CAROLINA,NC,37,890167,41.8,47.2
1988,NORTH DAKOTA,ND,38,127739,43.4,37.9
1988,OHIO,OH,39,1939629,44.5,47.8
1988,OKLAHOMA,OK,40,483423,41.6,37.4
1988,OREGON,OR,41,616206,52.4,53.1
1988,PENNSYLVANIA,PA,42,2194944,48.8,51.1
1988,RHODE ISLAND,RI,44,225123,55.9,59.8
1988,SOUTH CAROLINA,SC,45,370554,37.9,44.2
